w0,w1,n,mle
half,of,1,1.0067755997865636e-05
half,on,1,1.0067755997865636e-05
half,past,4,4.0271023991462545e-05
half,shaved,1,1.0067755997865636e-05
half,the,2,2.0135511995731273e-05
half,through,1,1.0067755997865636e-05
half,tumblerful,1,1.0067755997865636e-05
half,veronica,1,1.0067755997865636e-05
half,way,3,3.0203267993596907e-05
hall,</s>,2,2.0135511995731273e-05
hall,and,2,2.0135511995731273e-05
hall,to,1,1.0067755997865636e-05
hamilton,institute,1,1.0067755997865636e-05
hampers,</s>,1,1.0067755997865636e-05
hams,and,1,1.0067755997865636e-05
hand,</s>,15,0.00015101633996798453
hand,and,7,7.047429198505945e-05
hand,as,1,1.0067755997865636e-05
hand,away,1,1.0067755997865636e-05
hand,brett,1,1.0067755997865636e-05
hand,by,1,1.0067755997865636e-05
hand,dropped,1,1.0067755997865636e-05
hand,flat,1,1.0067755997865636e-05
hand,hard,1,1.0067755997865636e-05
hand,he,2,2.0135511995731273e-05
hand,on,13,0.00013088082797225325
hand,shook,1,1.0067755997865636e-05
hand,sitting,1,1.0067755997865636e-05
hand,so,1,1.0067755997865636e-05
hand,still,1,1.0067755997865636e-05
hand,the,1,1.0067755997865636e-05
hand,up,2,2.0135511995731273e-05
hand,walked,1,1.0067755997865636e-05
hand,was,5,5.0338779989328176e-05
hand,were,1,1.0067755997865636e-05
handclapping,above,1,1.0067755997865636e-05
handed,back,1,1.0067755997865636e-05
handed,bridge,1,1.0067755997865636e-05
handed,down,1,1.0067755997865636e-05
handed,him,2,2.0135511995731273e-05
handed,his,1,1.0067755997865636e-05
handed,it,7,7.047429198505945e-05
handed,me,3,3.0203267993596907e-05
handed,over,1,1.0067755997865636e-05
handed,the,5,5.0338779989328176e-05
handed,up,1,1.0067755997865636e-05
handed,us,1,1.0067755997865636e-05
handkerchief,</s>,1,1.0067755997865636e-05
handkerchief,along,1,1.0067755997865636e-05
handkerchief,belonging,1,1.0067755997865636e-05
handkerchiefs,around,1,1.0067755997865636e-05
handkerchiefs,were,1,1.0067755997865636e-05
handle,bars,1,1.0067755997865636e-05
handle,it,1,1.0067755997865636e-05
handled,both,1,1.0067755997865636e-05
handled,coffee,1,1.0067755997865636e-05
handled,his,1,1.0067755997865636e-05
handler,</s>,3,3.0203267993596907e-05
handler,and,1,1.0067755997865636e-05
handler,brought,1,1.0067755997865636e-05
handler,finished,1,1.0067755997865636e-05
handler,handed,1,1.0067755997865636e-05
handler,looked,1,1.0067755997865636e-05
handler,took,1,1.0067755997865636e-05
handlers,and,1,1.0067755997865636e-05
handlers,arranged,1,1.0067755997865636e-05
handlers,opened,1,1.0067755997865636e-05
handles,a,1,1.0067755997865636e-05
handling,all,1,1.0067755997865636e-05
handling,it,1,1.0067755997865636e-05
handling,myself,1,1.0067755997865636e-05
hands,</s>,10,0.00010067755997865635
hands,all,1,1.0067755997865636e-05
hands,and,6,6.0406535987193814e-05
hands,because,1,1.0067755997865636e-05
hands,fairly,1,1.0067755997865636e-05
hands,folded,1,1.0067755997865636e-05
hands,gripping,1,1.0067755997865636e-05
hands,his,1,1.0067755997865636e-05
hands,on,1,1.0067755997865636e-05
hands,under,1,1.0067755997865636e-05
hands,wavy,1,1.0067755997865636e-05
hands,with,9,9.060980398079073e-05
hands,wont,1,1.0067755997865636e-05
handsome,and,1,1.0067755997865636e-05
hang,about,1,1.0067755997865636e-05
hang,around,1,1.0067755997865636e-05
hang,in,1,1.0067755997865636e-05
hanger,on,1,1.0067755997865636e-05
hangers,on,2,2.0135511995731273e-05
hanging,about,1,1.0067755997865636e-05
hanging,down,1,1.0067755997865636e-05
hanging,from,1,1.0067755997865636e-05
hanging,out,1,1.0067755997865636e-05
happen,at,1,1.0067755997865636e-05
happen,brett,1,1.0067755997865636e-05
happen,every,1,1.0067755997865636e-05
happen,to,3,3.0203267993596907e-05
happen,when,1,1.0067755997865636e-05
happen,with,1,1.0067755997865636e-05
happened,</s>,9,9.060980398079073e-05
happened,before,1,1.0067755997865636e-05
happened,but,1,1.0067755997865636e-05
happened,could,1,1.0067755997865636e-05
happened,during,1,1.0067755997865636e-05
happened,except,1,1.0067755997865636e-05
happened,finally,1,1.0067755997865636e-05
happened,inside,1,1.0067755997865636e-05
happened,mike,1,1.0067755997865636e-05
happened,to,3,3.0203267993596907e-05
happening,</s>,2,2.0135511995731273e-05
happens,to,3,3.0203267993596907e-05
happy,</s>,11,0.00011074531597652199
happy,a,1,1.0067755997865636e-05
happy,about,1,1.0067755997865636e-05
happy,all,1,1.0067755997865636e-05
happy,brett,1,1.0067755997865636e-05
happy,careless,1,1.0067755997865636e-05
happy,except,1,1.0067755997865636e-05
happy,hell,1,1.0067755997865636e-05
happy,life,2,2.0135511995731273e-05
happy,my,1,1.0067755997865636e-05
happy,to,1,1.0067755997865636e-05
harbor,and,1,1.0067755997865636e-05
harbor,there,1,1.0067755997865636e-05
harbor,under,1,1.0067755997865636e-05
harbor,was,1,1.0067755997865636e-05
hard,</s>,4,4.0271023991462545e-05
hard,and,1,1.0067755997865636e-05
hard,as,1,1.0067755997865636e-05
hard,baked,1,1.0067755997865636e-05
hard,boiled,5,5.0338779989328176e-05
hard,eyed,1,1.0067755997865636e-05
hard,feelings,1,1.0067755997865636e-05
hard,for,1,1.0067755997865636e-05
hard,from,1,1.0067755997865636e-05
hard,jewish,1,1.0067755997865636e-05
hard,on,3,3.0203267993596907e-05
hard,outside,1,1.0067755997865636e-05
hard,shelled,1,1.0067755997865636e-05
hard,sun,1,1.0067755997865636e-05
hard,time,1,1.0067755997865636e-05
hard,to,1,1.0067755997865636e-05
hard,trajectory,1,1.0067755997865636e-05
hard,voiced,2,2.0135511995731273e-05
hardened,country,1,1.0067755997865636e-05
hardened,into,1,1.0067755997865636e-05
hardening,</s>,1,1.0067755997865636e-05
harder,to,1,1.0067755997865636e-05
hardly,</s>,2,2.0135511995731273e-05
hardly,anybody,1,1.0067755997865636e-05
hardly,fair,1,1.0067755997865636e-05
hardly,get,1,1.0067755997865636e-05
hardly,think,1,1.0067755997865636e-05
hardy,</s>,1,1.0067755997865636e-05
harlot,</s>,1,1.0067755997865636e-05
harness,and,1,1.0067755997865636e-05
harris,</s>,11,0.00011074531597652199
harris,asked,1,1.0067755997865636e-05
harris,because,1,1.0067755997865636e-05
harris,between,1,1.0067755997865636e-05
harris,bill,2,2.0135511995731273e-05
harris,had,1,1.0067755997865636e-05
harris,i,1,1.0067755997865636e-05
harris,lets,1,1.0067755997865636e-05
harris,lifted,1,1.0067755997865636e-05
harris,nice,1,1.0067755997865636e-05
harris,said,2,2.0135511995731273e-05
harris,stood,1,1.0067755997865636e-05
harris,was,5,5.0338779989328176e-05
harris,went,1,1.0067755997865636e-05
harris,who,1,1.0067755997865636e-05
harris,would,1,1.0067755997865636e-05
harvard,man,1,1.0067755997865636e-05
harvey,</s>,6,6.0406535987193814e-05
harvey,added,1,1.0067755997865636e-05
harvey,cohn,1,1.0067755997865636e-05
harvey,had,1,1.0067755997865636e-05
harvey,i,1,1.0067755997865636e-05
harvey,ive,1,1.0067755997865636e-05
harvey,said,3,3.0203267993596907e-05
harvey,stone,5,5.0338779989328176e-05
harvey,was,1,1.0067755997865636e-05
harvey,went,1,1.0067755997865636e-05
has,a,4,4.0271023991462545e-05
has,all,1,1.0067755997865636e-05
has,any,3,3.0203267993596907e-05
has,been,1,1.0067755997865636e-05
has,brett,1,1.0067755997865636e-05
has,gone,1,1.0067755997865636e-05
has,got,1,1.0067755997865636e-05
has,had,1,1.0067755997865636e-05
has,killed,1,1.0067755997865636e-05
has,nothing,1,1.0067755997865636e-05
has,seen,2,2.0135511995731273e-05
has,the,2,2.0135511995731273e-05
has,trout,1,1.0067755997865636e-05
hasnt,any,1,1.0067755997865636e-05
hasnt,come,1,1.0067755997865636e-05
hasnt,got,1,1.0067755997865636e-05
hasnt,had,1,1.0067755997865636e-05
hasnt,he,1,1.0067755997865636e-05
hasnt,learned,1,1.0067755997865636e-05
hasnt,lived,1,1.0067755997865636e-05
hasnt,she,1,1.0067755997865636e-05
hat,</s>,7,7.047429198505945e-05
hat,against,1,1.0067755997865636e-05
hat,and,1,1.0067755997865636e-05
hat,but,1,1.0067755997865636e-05
hat,down,4,4.0271023991462545e-05
hat,like,1,1.0067755997865636e-05
hat,so,1,1.0067755997865636e-05
hat,was,2,2.0135511995731273e-05
hate,him,3,3.0203267993596907e-05
hate,his,1,1.0067755997865636e-05
hate,the,2,2.0135511995731273e-05
hated,him,1,1.0067755997865636e-05
hated,to,1,1.0067755997865636e-05
hates,paris,1,1.0067755997865636e-05
hats,and,1,1.0067755997865636e-05
hats,on,1,1.0067755997865636e-05
hauling,a,1,1.0067755997865636e-05
hauling,carts,1,1.0067755997865636e-05
have,</s>,6,6.0406535987193814e-05
have,a,44,0.00044298126390608796
have,advised,1,1.0067755997865636e-05
have,aficion,1,1.0067755997865636e-05
have,all,1,1.0067755997865636e-05
have,always,2,2.0135511995731273e-05
have,an,2,2.0135511995731273e-05
have,another,13,0.00013088082797225325
have,any,6,6.0406535987193814e-05
have,anything,2,2.0135511995731273e-05
have,around,1,1.0067755997865636e-05
have,asked,1,1.0067755997865636e-05
have,been,22,0.00022149063195304398
have,breakfast,1,1.0067755997865636e-05
have,children,2,2.0135511995731273e-05
have,coffee,4,4.0271023991462545e-05
have,come,3,3.0203267993596907e-05
have,cornered,1,1.0067755997865636e-05
have,deserted,1,1.0067755997865636e-05
have,done,3,3.0203267993596907e-05
have,dreadful,1,1.0067755997865636e-05
have,enough,1,1.0067755997865636e-05
have,ever,2,2.0135511995731273e-05
have,felt,1,1.0067755997865636e-05
have,fewer,1,1.0067755997865636e-05
have,fun,1,1.0067755997865636e-05
have,given,1,1.0067755997865636e-05
have,god,1,1.0067755997865636e-05
have,gone,2,2.0135511995731273e-05
have,got,2,2.0135511995731273e-05
have,gotten,3,3.0203267993596907e-05
have,had,5,5.0338779989328176e-05
have,handed,1,1.0067755997865636e-05
have,happened,1,1.0067755997865636e-05
have,him,3,3.0203267993596907e-05
have,hit,1,1.0067755997865636e-05
have,i,4,4.0271023991462545e-05
have,instead,1,1.0067755997865636e-05
have,it,7,7.047429198505945e-05
have,jake,1,1.0067755997865636e-05
have,just,2,2.0135511995731273e-05
have,kept,2,2.0135511995731273e-05
have,knocked,1,1.0067755997865636e-05
have,known,3,3.0203267993596907e-05
have,liked,1,1.0067755997865636e-05
have,lived,2,2.0135511995731273e-05
have,loads,1,1.0067755997865636e-05
have,looked,1,1.0067755997865636e-05
have,lots,1,1.0067755997865636e-05
have,lunch,1,1.0067755997865636e-05
have,married,1,1.0067755997865636e-05
have,me,1,1.0067755997865636e-05
have,meant,1,1.0067755997865636e-05
have,much,1,1.0067755997865636e-05
have,my,1,1.0067755997865636e-05
have,never,1,1.0067755997865636e-05
have,nice,2,2.0135511995731273e-05
have,no,5,5.0338779989328176e-05
have,not,3,3.0203267993596907e-05
have,nt,1,1.0067755997865636e-05
have,one,3,3.0203267993596907e-05
have,only,1,1.0067755997865636e-05
have,our,1,1.0067755997865636e-05
have,plenty,1,1.0067755997865636e-05
have,pretty,1,1.0067755997865636e-05
have,ruined,1,1.0067755997865636e-05
have,saturday,1,1.0067755997865636e-05
have,scenes,2,2.0135511995731273e-05
have,seen,3,3.0203267993596907e-05
have,some,5,5.0338779989328176e-05
have,steers,1,1.0067755997865636e-05
have,stopped,1,1.0067755997865636e-05
have,that,2,2.0135511995731273e-05
have,the,4,4.0271023991462545e-05
have,them,3,3.0203267993596907e-05
have,thought,1,1.0067755997865636e-05
have,tired,1,1.0067755997865636e-05
have,titles,1,1.0067755997865636e-05
have,to,30,0.00030203267993596906
have,two,1,1.0067755997865636e-05
have,we,2,2.0135511995731273e-05
have,you,15,0.00015101633996798453
havent,a,1,1.0067755997865636e-05
havent,any,2,2.0135511995731273e-05
havent,bathed,1,1.0067755997865636e-05
havent,been,1,1.0067755997865636e-05
havent,changed,1,1.0067755997865636e-05
havent,drunk,1,1.0067755997865636e-05
havent,got,3,3.0203267993596907e-05
havent,had,1,1.0067755997865636e-05
havent,seen,4,4.0271023991462545e-05
havent,thought,1,1.0067755997865636e-05
havent,used,1,1.0067755997865636e-05
havent,we,1,1.0067755997865636e-05
havent,you,8,8.054204798292509e-05
having,a,9,9.060980398079073e-05
having,an,1,1.0067755997865636e-05
having,any,2,2.0135511995731273e-05
having,been,1,1.0067755997865636e-05
having,brett,1,1.0067755997865636e-05
having,cohn,1,1.0067755997865636e-05
having,gone,1,1.0067755997865636e-05
having,to,2,2.0135511995731273e-05
hay,forks,1,1.0067755997865636e-05
he,</s>,6,6.0406535987193814e-05
he,a,2,2.0135511995731273e-05
he,aficionado,1,1.0067755997865636e-05
he,afraid,1,1.0067755997865636e-05
he,all,1,1.0067755997865636e-05
he,always,4,4.0271023991462545e-05
he,and,3,3.0203267993596907e-05
he,answered,1,1.0067755997865636e-05
he,apologized,1,1.0067755997865636e-05
he,appreciated,1,1.0067755997865636e-05
he,asked,11,0.00011074531597652199
he,beautiful,1,1.0067755997865636e-05
he,became,1,1.0067755997865636e-05
he,been,1,1.0067755997865636e-05
he,began,1,1.0067755997865636e-05
he,behaved,1,1.0067755997865636e-05
he,belmonte,1,1.0067755997865636e-05
he,bit,1,1.0067755997865636e-05
he,blew,2,2.0135511995731273e-05
he,bought,1,1.0067755997865636e-05
he,bounded,1,1.0067755997865636e-05
he,bowed,1,1.0067755997865636e-05
he,brought,4,4.0271023991462545e-05
he,buttonholed,1,1.0067755997865636e-05
he,called,3,3.0203267993596907e-05
he,calls,1,1.0067755997865636e-05
he,came,17,0.0001711518519637158
he,can,6,6.0406535987193814e-05
he,cant,4,4.0271023991462545e-05
he,cared,1,1.0067755997865636e-05
he,charged,2,2.0135511995731273e-05
he,cheered,1,1.0067755997865636e-05
he,claims,1,1.0067755997865636e-05
he,climbed,1,1.0067755997865636e-05
he,comes,1,1.0067755997865636e-05
he,could,10,0.00010067755997865635
he,couldnt,2,2.0135511995731273e-05
he,cried,1,1.0067755997865636e-05
he,cries,1,1.0067755997865636e-05
he,cut,1,1.0067755997865636e-05
he,damn,1,1.0067755997865636e-05
he,danced,1,1.0067755997865636e-05
he,decided,1,1.0067755997865636e-05
he,depresses,1,1.0067755997865636e-05
he,did,29,0.00029196492393810346
he,didnt,8,8.054204798292509e-05
he,discovered,1,1.0067755997865636e-05
he,disliked,1,1.0067755997865636e-05
he,do,1,1.0067755997865636e-05
he,doesnt,11,0.00011074531597652199
he,dominated,1,1.0067755997865636e-05
he,drank,2,2.0135511995731273e-05
he,drinks,1,1.0067755997865636e-05
he,drove,2,2.0135511995731273e-05
he,ducked,2,2.0135511995731273e-05
he,enters,1,1.0067755997865636e-05
he,ever,2,2.0135511995731273e-05
he,feel,1,1.0067755997865636e-05
he,feels,2,2.0135511995731273e-05
he,fell,3,3.0203267993596907e-05
he,felt,2,2.0135511995731273e-05
he,forgave,1,1.0067755997865636e-05
he,fought,1,1.0067755997865636e-05
he,gained,1,1.0067755997865636e-05
he,gave,4,4.0271023991462545e-05
he,get,1,1.0067755997865636e-05
he,gets,3,3.0203267993596907e-05
he,gives,1,1.0067755997865636e-05
he,go,1,1.0067755997865636e-05
he,goes,1,1.0067755997865636e-05
he,going,1,1.0067755997865636e-05
he,got,9,9.060980398079073e-05
he,grinned,1,1.0067755997865636e-05
he,had,74,0.000745013943842057
he,hadnt,1,1.0067755997865636e-05
he,handed,4,4.0271023991462545e-05
he,handled,1,1.0067755997865636e-05
he,handles,1,1.0067755997865636e-05
he,has,2,2.0135511995731273e-05
he,hasnt,3,3.0203267993596907e-05
he,have,1,1.0067755997865636e-05
he,held,4,4.0271023991462545e-05
he,hired,1,1.0067755997865636e-05
he,hit,3,3.0203267993596907e-05
he,hung,1,1.0067755997865636e-05
he,hurt,1,1.0067755997865636e-05
he,imitated,1,1.0067755997865636e-05
he,is,13,0.00013088082797225325
he,jerked,1,1.0067755997865636e-05
he,just,5,5.0338779989328176e-05
he,keep,1,1.0067755997865636e-05
he,kept,6,6.0406535987193814e-05
he,killed,1,1.0067755997865636e-05
he,knew,6,6.0406535987193814e-05
he,knocked,3,3.0203267993596907e-05
he,knows,3,3.0203267993596907e-05
he,lathered,1,1.0067755997865636e-05
he,laughed,3,3.0203267993596907e-05
he,lay,3,3.0203267993596907e-05
he,leaned,4,4.0271023991462545e-05
he,learned,2,2.0135511995731273e-05
he,left,2,2.0135511995731273e-05
he,let,1,1.0067755997865636e-05
he,like,2,2.0135511995731273e-05
he,liked,3,3.0203267993596907e-05
he,linked,1,1.0067755997865636e-05
he,lit,1,1.0067755997865636e-05
he,lived,1,1.0067755997865636e-05
he,look,3,3.0203267993596907e-05
he,looked,14,0.0001409485839701189
he,looks,5,5.0338779989328176e-05
he,loved,6,6.0406535987193814e-05
he,lovely,1,1.0067755997865636e-05
he,loves,1,1.0067755997865636e-05
he,made,6,6.0406535987193814e-05
he,makes,2,2.0135511995731273e-05
he,marries,1,1.0067755997865636e-05
he,marry,1,1.0067755997865636e-05
he,massacred,1,1.0067755997865636e-05
he,means,1,1.0067755997865636e-05
he,might,1,1.0067755997865636e-05
he,missed,1,1.0067755997865636e-05
he,mopped,1,1.0067755997865636e-05
he,moved,2,2.0135511995731273e-05
he,must,9,9.060980398079073e-05
he,named,1,1.0067755997865636e-05
he,nearly,1,1.0067755997865636e-05
he,needed,1,1.0067755997865636e-05
he,never,4,4.0271023991462545e-05
he,no,1,1.0067755997865636e-05
he,nodded,4,4.0271023991462545e-05
he,nor,1,1.0067755997865636e-05
he,nosed,1,1.0067755997865636e-05
he,offered,2,2.0135511995731273e-05
he,only,3,3.0203267993596907e-05
he,opened,1,1.0067755997865636e-05
he,ought,1,1.0067755997865636e-05
he,owes,1,1.0067755997865636e-05
he,paid,1,1.0067755997865636e-05
he,passed,2,2.0135511995731273e-05
he,paused,1,1.0067755997865636e-05
he,piled,1,1.0067755997865636e-05
he,pivoted,1,1.0067755997865636e-05
he,played,1,1.0067755997865636e-05
he,pointed,2,2.0135511995731273e-05
he,poured,3,3.0203267993596907e-05
he,prepared,1,1.0067755997865636e-05
he,prepped,1,1.0067755997865636e-05
he,probably,1,1.0067755997865636e-05
he,profiled,1,1.0067755997865636e-05
he,pulled,2,2.0135511995731273e-05
he,put,3,3.0203267993596907e-05
he,quivered,1,1.0067755997865636e-05
he,raised,2,2.0135511995731273e-05
he,rang,1,1.0067755997865636e-05
he,reached,1,1.0067755997865636e-05
he,read,2,2.0135511995731273e-05
he,realized,1,1.0067755997865636e-05
he,really,2,2.0135511995731273e-05
he,remembers,1,1.0067755997865636e-05
he,retired,1,1.0067755997865636e-05
he,returned,1,1.0067755997865636e-05
he,robert,1,1.0067755997865636e-05
he,rolled,1,1.0067755997865636e-05
he,rubbed,1,1.0067755997865636e-05
he,ruined,1,1.0067755997865636e-05
he,said,110,0.00110745315976522
he,sat,6,6.0406535987193814e-05
he,saw,2,2.0135511995731273e-05
he,say,2,2.0135511995731273e-05
he,says,5,5.0338779989328176e-05
he,seated,1,1.0067755997865636e-05
he,seemed,3,3.0203267993596907e-05
he,seems,1,1.0067755997865636e-05
he,shook,7,7.047429198505945e-05
he,should,5,5.0338779989328176e-05
he,shouldnt,2,2.0135511995731273e-05
he,shoved,2,2.0135511995731273e-05
he,showed,1,1.0067755997865636e-05
he,shut,1,1.0067755997865636e-05
he,sit,1,1.0067755997865636e-05
he,slapped,1,1.0067755997865636e-05
he,slurred,1,1.0067755997865636e-05
he,smiled,9,9.060980398079073e-05
he,sobered,1,1.0067755997865636e-05
he,spends,1,1.0067755997865636e-05
he,spent,1,1.0067755997865636e-05
he,spoke,1,1.0067755997865636e-05
he,spread,1,1.0067755997865636e-05
he,started,6,6.0406535987193814e-05
he,still,1,1.0067755997865636e-05
he,stood,9,9.060980398079073e-05
he,stopped,5,5.0338779989328176e-05
he,swallowed,1,1.0067755997865636e-05
he,swung,1,1.0067755997865636e-05
he,talked,3,3.0203267993596907e-05
he,talks,1,1.0067755997865636e-05
he,tapped,1,1.0067755997865636e-05
he,think,2,2.0135511995731273e-05
he,thinks,2,2.0135511995731273e-05
he,thought,6,6.0406535987193814e-05
he,tied,2,2.0135511995731273e-05
he,tipped,2,2.0135511995731273e-05
he,told,2,2.0135511995731273e-05
he,took,12,0.00012081307197438763
he,touched,1,1.0067755997865636e-05
he,transferred,1,1.0067755997865636e-05
he,tried,1,1.0067755997865636e-05
he,turned,16,0.00016108409596585018
he,used,2,2.0135511995731273e-05
he,usually,1,1.0067755997865636e-05
he,very,1,1.0067755997865636e-05
he,walked,3,3.0203267993596907e-05
he,wanted,15,0.00015101633996798453
he,wants,7,7.047429198505945e-05
he,was,143,0.0014396891076947859
he,wasnt,4,4.0271023991462545e-05
he,watched,2,2.0135511995731273e-05
he,waved,3,3.0203267993596907e-05
he,went,12,0.00012081307197438763
he,were,3,3.0203267993596907e-05
he,winked,2,2.0135511995731273e-05
he,wiped,2,2.0135511995731273e-05
he,woke,1,1.0067755997865636e-05
he,wont,1,1.0067755997865636e-05
he,wore,4,4.0271023991462545e-05
he,worked,1,1.0067755997865636e-05
he,would,17,0.0001711518519637158
he,wouldnt,6,6.0406535987193814e-05
he,writes,2,2.0135511995731273e-05
he,wrote,5,5.0338779989328176e-05
head,</s>,16,0.00016108409596585018
head,against,1,1.0067755997865636e-05
head,and,6,6.0406535987193814e-05
head,any,1,1.0067755997865636e-05
head,around,1,1.0067755997865636e-05
head,at,2,2.0135511995731273e-05
head,away,1,1.0067755997865636e-05
head,could,1,1.0067755997865636e-05
head,deeper,1,1.0067755997865636e-05
head,early,1,1.0067755997865636e-05
head,first,1,1.0067755997865636e-05
head,going,1,1.0067755997865636e-05
head,hanging,1,1.0067755997865636e-05
head,in,4,4.0271023991462545e-05
head,of,4,4.0271023991462545e-05
head,on,5,5.0338779989328176e-05
head,out,1,1.0067755997865636e-05
head,poised,1,1.0067755997865636e-05
head,seemed,1,1.0067755997865636e-05
head,started,1,1.0067755997865636e-05
head,swinging,1,1.0067755997865636e-05
head,through,1,1.0067755997865636e-05
head,tipped,1,1.0067755997865636e-05
head,twisted,1,1.0067755997865636e-05
head,up,2,2.0135511995731273e-05
head,waiter,2,2.0135511995731273e-05
head,was,2,2.0135511995731273e-05
head,went,2,2.0135511995731273e-05
headache,</s>,2,2.0135511995731273e-05
headache,and,2,2.0135511995731273e-05
headbut,theyre,1,1.0067755997865636e-05
headed,and,1,1.0067755997865636e-05
headland,</s>,1,1.0067755997865636e-05
headlands,of,1,1.0067755997865636e-05
headlands,the,1,1.0067755997865636e-05
headlight,coming,1,1.0067755997865636e-05
heads,a,1,1.0067755997865636e-05
heads,and,3,3.0203267993596907e-05
heads,back,1,1.0067755997865636e-05
heads,down,1,1.0067755997865636e-05
heads,in,2,2.0135511995731273e-05
heads,of,1,1.0067755997865636e-05
heads,pointing,1,1.0067755997865636e-05
heads,side,1,1.0067755997865636e-05
heads,sunken,1,1.0067755997865636e-05
heads,toward,1,1.0067755997865636e-05
heads,up,1,1.0067755997865636e-05
healthful,shock,1,1.0067755997865636e-05
healthy,</s>,1,1.0067755997865636e-05
healthy,and,1,1.0067755997865636e-05
healthy,conceit,1,1.0067755997865636e-05
healthy,long,1,1.0067755997865636e-05
healthy,looking,1,1.0067755997865636e-05
healthy,stomach,1,1.0067755997865636e-05
healthy,wench,1,1.0067755997865636e-05
hear,</s>,2,2.0135511995731273e-05
hear,about,1,1.0067755997865636e-05
hear,all,1,1.0067755997865636e-05
hear,brett,1,1.0067755997865636e-05
hear,from,2,2.0135511995731273e-05
hear,it,1,1.0067755997865636e-05
hear,me,1,1.0067755997865636e-05
hear,my,1,1.0067755997865636e-05
hear,our,1,1.0067755997865636e-05
hear,robert,1,1.0067755997865636e-05
hear,some,1,1.0067755997865636e-05
hear,that,1,1.0067755997865636e-05
hear,the,1,1.0067755997865636e-05
hear,them,1,1.0067755997865636e-05
hear,themselves,1,1.0067755997865636e-05
hear,you,3,3.0203267993596907e-05
heard,</s>,1,1.0067755997865636e-05
heard,and,1,1.0067755997865636e-05
heard,bill,1,1.0067755997865636e-05
heard,brett,3,3.0203267993596907e-05
heard,bretts,1,1.0067755997865636e-05
heard,cohn,1,1.0067755997865636e-05
heard,frances,1,1.0067755997865636e-05
heard,from,1,1.0067755997865636e-05
heard,him,3,3.0203267993596907e-05
heard,his,1,1.0067755997865636e-05
heard,it,1,1.0067755997865636e-05
heard,my,1,1.0067755997865636e-05
heard,of,1,1.0067755997865636e-05
heard,so,1,1.0067755997865636e-05
heard,that,1,1.0067755997865636e-05
heard,the,6,6.0406535987193814e-05
heard,their,1,1.0067755997865636e-05
heard,them,7,7.047429198505945e-05
hearing,anything,1,1.0067755997865636e-05
heat,</s>,1,1.0067755997865636e-05
heat,and,1,1.0067755997865636e-05
heat,baked,1,1.0067755997865636e-05
heat,of,3,3.0203267993596907e-05
heat,outside,1,1.0067755997865636e-05
heather,</s>,1,1.0067755997865636e-05
heavily,and,1,1.0067755997865636e-05
heavy,and,2,2.0135511995731273e-05
heavy,cape,1,1.0067755997865636e-05
heavy,footed,1,1.0067755997865636e-05
heavy,from,1,1.0067755997865636e-05
heavy,gold,1,1.0067755997865636e-05
heavy,leather,2,2.0135511995731273e-05
heavy,muddy,1,1.0067755997865636e-05
heavy,pigskin,1,1.0067755997865636e-05
heavy,slowly,1,1.0067755997865636e-05
heavy,trams,1,1.0067755997865636e-05
heavy,water,1,1.0067755997865636e-05
heavyweights,</s>,1,1.0067755997865636e-05
hed,be,2,2.0135511995731273e-05
hed,been,1,1.0067755997865636e-05
hed,come,1,1.0067755997865636e-05
hed,gone,1,1.0067755997865636e-05
hed,have,2,2.0135511995731273e-05
hed,kill,3,3.0203267993596907e-05
hed,mind,1,1.0067755997865636e-05
hed,only,1,1.0067755997865636e-05
hed,worn,1,1.0067755997865636e-05
heels,touched,1,1.0067755997865636e-05
height,of,1,1.0067755997865636e-05
hel,lo,3,3.0203267993596907e-05
held,cards,1,1.0067755997865636e-05
held,down,1,1.0067755997865636e-05
held,five,1,1.0067755997865636e-05
held,her,1,1.0067755997865636e-05
held,him,4,4.0271023991462545e-05
held,it,2,2.0135511995731273e-05
held,low,1,1.0067755997865636e-05
held,the,4,4.0271023991462545e-05
held,them,1,1.0067755997865636e-05
held,two,1,1.0067755997865636e-05
held,up,1,1.0067755997865636e-05
hell,</s>,20,0.0002013551199573127
hell,again,2,2.0135511995731273e-05
hell,and,2,2.0135511995731273e-05
hell,are,1,1.0067755997865636e-05
hell,be,1,1.0067755997865636e-05
hell,behave,1,1.0067755997865636e-05
hell,bill,1,1.0067755997865636e-05
hell,brett,1,1.0067755997865636e-05
hell,cohn,1,1.0067755997865636e-05
hell,come,1,1.0067755997865636e-05
hell,didnt,1,1.0067755997865636e-05
hell,do,2,2.0135511995731273e-05
hell,get,1,1.0067755997865636e-05
hell,have,1,1.0067755997865636e-05
hell,he,1,1.0067755997865636e-05
hell,i,4,4.0271023991462545e-05
hell,is,2,2.0135511995731273e-05
hell,ive,1,1.0067755997865636e-05
hell,jake,2,2.0135511995731273e-05
hell,just,1,1.0067755997865636e-05
hell,live,1,1.0067755997865636e-05
hell,mike,1,1.0067755997865636e-05
hell,naturally,1,1.0067755997865636e-05
hell,never,1,1.0067755997865636e-05
hell,of,15,0.00015101633996798453
hell,on,2,2.0135511995731273e-05
hell,paved,1,1.0067755997865636e-05
hell,robert,1,1.0067755997865636e-05
hell,should,1,1.0067755997865636e-05
hell,some,1,1.0067755997865636e-05
hell,there,1,1.0067755997865636e-05
hell,they,1,1.0067755997865636e-05
hell,to,1,1.0067755997865636e-05
hell,up,1,1.0067755997865636e-05
hell,were,1,1.0067755997865636e-05
